,HOSPI_CODE_UCD,DATE,ID_SITE_RATTACHE,QUANTITY,CODE_ATC,N_UFS,WEEK,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD
0,3400890837149,2017-03,HOSPI_1,5270.0,N05BA04,2.0,24.0,12.0,572443.0,806.0,5303.0,1360.0,106.0,80667.0,0.0,0.0,1239.0,122.0
1,3400892203645,2017-03,HOSPI_4,17450.0,H02AB06,1.0,9.0,39.0,1843319.0,2556.0,15650.0,4500.0,467.0,254570.0,0.0,5.0,8464.0,285.0
2,3400892203645,2017-03,HOSPI_3,7945.0,H02AB06,8.0,9.0,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3,3400892203645,2017-03,HOSPI_2,3565.0,H02AB06,2.0,13.0,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0
4,3400892203645,2017-03,HOSPI_1,620.0,H02AB06,2.0,24.0,12.0,572443.0,806.0,5303.0,1360.0,106.0,80667.0,0.0,0.0,1239.0,122.0
5,3400892697789,2017-03,HOSPI_1,620.0,M03BX01,2.0,24.0,12.0,572443.0,806.0,5303.0,1360.0,106.0,80667.0,0.0,0.0,1239.0,122.0
6,3400892697789,2017-03,HOSPI_2,310.0,M03BX01,2.0,13.0,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0
7,3400892697789,2017-03,HOSPI_3,3740.0,M03BX01,8.0,9.0,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
8,3400892697789,2017-03,HOSPI_4,18030.0,M03BX01,1.0,9.0,39.0,1843319.0,2556.0,15650.0,4500.0,467.0,254570.0,0.0,5.0,8464.0,285.0
9,3400893736135,2017-03,HOSPI_1,4030.0,A03AX12,2.0,24.0,12.0,572443.0,806.0,5303.0,1360.0,106.0,80667.0,0.0,0.0,1239.0,122.0
10,3400893736135,2017-03,HOSPI_2,4650.0,A03AX12,2.0,25.0,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0
11,3400893736135,2017-03,HOSPI_3,6640.0,A03AX12,8.0,9.0,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
12,3400893736135,2017-03,HOSPI_4,16220.0,A03AX12,1.0,9.0,39.0,1843319.0,2556.0,15650.0,4500.0,467.0,254570.0,0.0,5.0,8464.0,285.0
13,3400892065366,2017-03,HOSPI_4,38730.0,B01AC06,1.0,9.0,39.0,1843319.0,2556.0,15650.0,4500.0,467.0,254570.0,0.0,5.0,8464.0,285.0
14,3400892065366,2017-03,HOSPI_3,12240.0,B01AC06,8.0,9.0,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
15,3400892065366,2017-03,HOSPI_2,1085.0,B01AC06,2.0,13.0,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0
16,3400892065366,2017-03,HOSPI_1,1240.0,B01AC06,2.0,24.0,12.0,572443.0,806.0,5303.0,1360.0,106.0,80667.0,0.0,0.0,1239.0,122.0
17,3400892745848,2017-03,HOSPI_3,1040.0,R03AC02,8.0,9.0,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
