CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
1,2017-03-01,3400890837149,1157.0,187.0,3,1.0,5001.0,539067.0,714.0,2600.0,2600.0,75420.0,1236.0,261.0,9,2017,4
2,2017-03-01,3400893826706,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,1786.0,1786.0,75420.0,1236.0,261.0,9,2017,1
3,2017-03-01,3400892729589,1157.0,187.0,3,7.0,5001.0,539067.0,714.0,4560.0,4560.0,75420.0,1236.0,261.0,9,2017,3
4,2017-03-01,3400892088310,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,2797.0,2797.0,75420.0,1236.0,261.0,9,2017,0
5,2017-03-01,3400892075761,1157.0,187.0,3,3.0,5001.0,539067.0,714.0,2140.0,2140.0,75420.0,1236.0,261.0,9,2017,0
6,2017-03-01,3400892745848,1157.0,187.0,3,1.0,5001.0,539067.0,714.0,3750.0,3750.0,75420.0,1236.0,261.0,9,2017,3
7,2017-03-01,3400893736135,1157.0,187.0,3,6.0,5001.0,539067.0,714.0,3920.0,3920.0,75420.0,1236.0,261.0,9,2017,7
8,2017-03-01,3400892697789,1157.0,187.0,3,1.0,5001.0,539067.0,714.0,820.0,820.0,75420.0,1236.0,261.0,9,2017,3
9,2017-03-01,3400892203645,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,3415.0,3415.0,75420.0,1236.0,261.0,9,2017,8
10,2017-03-01,3400891235203,1157.0,187.0,3,1.0,5001.0,539067.0,714.0,1400.0,1400.0,75420.0,1236.0,261.0,9,2017,2
11,2017-03-01,3400891225037,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,14840.0,14840.0,75420.0,1236.0,261.0,9,2017,2
12,2017-03-01,3400893875490,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,8618.0,8618.0,75420.0,1236.0,261.0,9,2017,1
13,2017-03-01,3400892065366,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,5948.0,5948.0,75420.0,1236.0,261.0,9,2017,0
14,2017-03-01,3400892761527,1157.0,187.0,3,1.0,5001.0,539067.0,714.0,12083.0,12083.0,75420.0,1236.0,261.0,9,2017,3
15,2017-03-01,3400893022634,1157.0,187.0,3,2.0,5001.0,539067.0,714.0,5048.0,5048.0,75420.0,1236.0,261.0,9,2017,5
