HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400890837149,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,16300.0,0.1608143300219512,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891191226,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,8600.0,0.1562427197232334,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893736135,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6960.0,0.156579434531735,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8340.0,0.1547777660476545,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,16840.0,0.1095637021754679,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4900.0,0.1325310930058013,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3400892745848,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,13740.0,0.181691635662779,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
3400892729589,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,15480.0,0.146125656015996,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7800.0,0.1921133826277009,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6810.0,0.0967555366482198,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3400892669236,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,19620.0,0.1276826570054934,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400891996128,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,149100.0,0.1191095962056119,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6750.0,0.1545010991195468,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3400892203645,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7250.0,0.1209942841267652,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
3400892052120,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,5940.0,0.112001034585592,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892075761,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10530.0,0.1762781048397846,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6550.0,0.1893301839955566,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3400893875490,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,25670.0,0.1760121314887569,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3400892065366,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,20130.0,0.1666767387748694,247827.0,22.0,163.0,7902.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,26360.0,0.1405330146668709,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11190.0,0.1278707532795857,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3400891191226,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8460.0,0.1549709766557187,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6900.0,0.1562177779986529,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9150.0,0.2087385792012519,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892729589,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,15330.0,0.1454176828763836,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892203645,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10700.0,0.1497825793155473,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
