CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
1,2017-03-01,3400890837149,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,17100.0,17100.0,254570.0,5.0,285.0,8464.0,9,2017,4
2,2017-03-01,3400893826706,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,5100.0,5100.0,254570.0,5.0,285.0,8464.0,9,2017,1
3,2017-03-01,3400892729589,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,17490.0,17490.0,254570.0,5.0,285.0,8464.0,9,2017,3
4,2017-03-01,3400892088310,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,6220.0,6220.0,254570.0,5.0,285.0,8464.0,9,2017,0
5,2017-03-01,3400892075761,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,8970.0,8970.0,254570.0,5.0,285.0,8464.0,9,2017,0
6,2017-03-01,3400892745848,4500.0,467.0,3,3.0,15650.0,1843319.0,2556.0,11760.0,11760.0,254570.0,5.0,285.0,8464.0,9,2017,3
7,2017-03-01,3400893736135,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,7180.0,7180.0,254570.0,5.0,285.0,8464.0,9,2017,1
8,2017-03-01,3400892697789,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,12270.0,12270.0,254570.0,5.0,285.0,8464.0,9,2017,3
9,2017-03-01,3400892203645,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,9550.0,9550.0,254570.0,5.0,285.0,8464.0,9,2017,0
10,2017-03-01,3400891235203,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,5700.0,5700.0,254570.0,5.0,285.0,8464.0,9,2017,2
11,2017-03-01,3400891225037,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,25400.0,25400.0,254570.0,5.0,285.0,8464.0,9,2017,2
12,2017-03-01,3400893875490,4500.0,467.0,3,2.0,15650.0,1843319.0,2556.0,21310.0,21310.0,254570.0,5.0,285.0,8464.0,9,2017,1
13,2017-03-01,3400892065366,4500.0,467.0,3,3.0,15650.0,1843319.0,2556.0,19500.0,19500.0,254570.0,5.0,285.0,8464.0,9,2017,0
14,2017-03-01,3400892761527,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,6350.0,6350.0,254570.0,5.0,285.0,8464.0,9,2017,3
15,2017-03-01,3400893022634,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,9,2017,6
16,2017-03-01,3400891191226,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,9060.0,9060.0,254570.0,5.0,285.0,8464.0,9,2017,2
14,2017-03-01,3400892761695,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,8340.0,8340.0,254570.0,5.0,285.0,8464.0,9,2017,3
17,2017-03-01,3400892669236,4500.0,467.0,3,3.0,15650.0,1843319.0,2556.0,24932.0,24932.0,254570.0,5.0,285.0,8464.0,9,2017,3
18,2017-03-01,3400892508566,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,7050.0,7050.0,254570.0,5.0,285.0,8464.0,9,2017,3
3,2017-03-01,3400892052120,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,8070.0,8070.0,254570.0,5.0,285.0,8464.0,9,2017,0
12,2017-03-01,3400891996128,4500.0,467.0,3,1.0,15650.0,1843319.0,2556.0,200400.0,200400.0,254570.0,5.0,285.0,8464.0,9,2017,5
15,2017-04-01,3400893022634,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,13,2017,6
1,2017-04-01,3400890837149,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,17400.0,17250.0,254570.0,5.0,285.0,8464.0,13,2017,4
2,2017-04-01,3400893826706,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,4550.0,4825.0,254570.0,5.0,285.0,8464.0,13,2017,1
3,2017-04-01,3400892729589,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,17940.0,17715.0,254570.0,5.0,285.0,8464.0,13,2017,3
14,2017-04-01,3400892761695,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,10040.0,9190.0,254570.0,5.0,285.0,8464.0,13,2017,3
4,2017-04-01,3400892088310,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,6220.0,6220.0,254570.0,5.0,285.0,8464.0,13,2017,0
5,2017-04-01,3400892075761,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,8130.0,8550.0,254570.0,5.0,285.0,8464.0,13,2017,0
6,2017-04-01,3400892745848,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,10680.0,11220.0,254570.0,5.0,285.0,8464.0,13,2017,3
7,2017-04-01,3400893736135,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,8060.0,7620.0,254570.0,5.0,285.0,8464.0,13,2017,1
3,2017-04-01,3400892052120,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,8970.0,8520.0,254570.0,5.0,285.0,8464.0,13,2017,0
8,2017-04-01,3400892697789,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,12780.0,12525.0,254570.0,5.0,285.0,8464.0,13,2017,3
11,2017-04-01,3400891225037,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,24360.0,24880.0,254570.0,5.0,285.0,8464.0,13,2017,2
9,2017-04-01,3400892203645,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,9750.0,9650.0,254570.0,5.0,285.0,8464.0,13,2017,0
14,2017-04-01,3400892761527,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,6250.0,6300.0,254570.0,5.0,285.0,8464.0,13,2017,3
12,2017-04-01,3400891996128,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,202800.0,201600.0,254570.0,5.0,285.0,8464.0,13,2017,5
