HOSPI_CODE_UCD,QUANTITY,N_UFS,DATE,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,YEAR_2016,YEAR_2017,YEAR_2018,YEAR_2019,HOSPI_HOSPI_1,HOSPI_HOSPI_2,HOSPI_HOSPI_3,HOSPI_HOSPI_4,ID_SITE_RATTACHE,CLUSTER
3400890837149,1300.0,2.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HOSPI_1,1
3400890837149,0.0,1.0,2016-01-01,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,HOSPI_2,0
3400890837149,4080.0,7.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,HOSPI_3,3
3400890837149,16300.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,HOSPI_4,8
3400891191226,3076.0,7.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HOSPI_1,1
3400891191226,0.0,1.0,2016-01-01,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,HOSPI_2,0
3400891191226,4670.0,8.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,HOSPI_3,3
3400891191226,8600.0,2.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,HOSPI_4,8
3400891225037,12240.0,5.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HOSPI_1,1
3400891225037,0.0,2.0,2016-01-01,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,HOSPI_2,0
3400891225037,8430.0,8.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,HOSPI_3,3
3400891225037,16840.0,2.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,HOSPI_4,8
3400891235203,1795.0,4.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HOSPI_1,1
