CODE_ATC,DATE,HOSPI_CODE_UCD,ID_SITE_RATTACHE,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
1,2017-03-01,3400890837149,HOSPI_1,1694.0,327.0,3,8.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,2
1,2017-03-01,3400890837149,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,20.0,10.0,99125.0,1015.0,0.0,1190.0,9,2017,2
1,2017-03-01,3400890837149,HOSPI_3,1694.0,327.0,3,7.0,6330.0,858668.0,1061.0,490.0,170.0,99125.0,1015.0,120.0,1190.0,9,2017,2
1,2017-03-01,3400890837149,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,3400.0,1303.3333333333333,99125.0,1015.0,285.0,1190.0,9,2017,2
2,2017-03-01,3400891191226,HOSPI_1,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,2
2,2017-03-01,3400891191226,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,20.0,10.0,99125.0,1015.0,0.0,1190.0,9,2017,2
2,2017-03-01,3400891191226,HOSPI_3,1694.0,327.0,3,13.0,6330.0,858668.0,1061.0,410.0,143.33333333333334,99125.0,1015.0,120.0,1190.0,9,2017,2
2,2017-03-01,3400891191226,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,580.0,336.6666666666667,99125.0,1015.0,285.0,1190.0,9,2017,2
3,2017-03-01,3400891225037,HOSPI_1,1694.0,327.0,3,10.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,2
3,2017-03-01,3400891225037,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,80.0,40.0,99125.0,1015.0,0.0,1190.0,9,2017,2
3,2017-03-01,3400891225037,HOSPI_3,1694.0,327.0,3,14.0,6330.0,858668.0,1061.0,1920.0,666.6666666666666,99125.0,1015.0,120.0,1190.0,9,2017,2
3,2017-03-01,3400891225037,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,1000.0,1000.0,99125.0,1015.0,285.0,1190.0,9,2017,2
4,2017-03-01,3400891235203,HOSPI_1,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,2
