ID_SITE_RATTACHE,HOSPI_CODE_UCD,YEAR,MONTH,QUANTITY,N_UFS,DATE,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD,ID_SITE_RATTACHE_NUM
HOSPI_1,3400890837149,2013,6,0.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400890837149,2013,6,0.0,1.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400890837149,2013,6,0.0,2.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400890837149,2013,6,0.0,1.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400891191226,2013,6,10.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400891191226,2013,6,0.0,1.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400891191226,2013,6,0.0,8.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400891191226,2013,6,0.0,2.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400891225037,2013,6,20.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400891225037,2013,6,0.0,2.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400891225037,2013,6,0.0,4.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400891225037,2013,6,0.0,2.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400891235203,2013,6,0.0,1.0,2013-06,12.0,571632.0,684.0,5321.0,1418.0,151.0,71879.0,0.0,0.0,1194.0,79.0,1
HOSPI_2,3400891235203,2013,6,0.0,1.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400891235203,2013,6,0.0,4.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400891235203,2013,6,0.0,1.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400891996128,2013,6,110.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400891996128,2013,6,0.0,5.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400891996128,2013,6,0.0,13.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400891996128,2013,6,0.0,2.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400892052120,2013,6,0.0,1.0,2013-06,12.0,571632.0,684.0,5321.0,1418.0,151.0,71879.0,0.0,0.0,1194.0,79.0,1
HOSPI_2,3400892052120,2013,6,0.0,1.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400892052120,2013,6,0.0,1.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400892052120,2013,6,0.0,2.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400892065366,2013,6,30.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400892065366,2013,6,0.0,2.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400892065366,2013,6,0.0,5.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400892065366,2013,6,0.0,1.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400892075761,2013,6,20.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
HOSPI_2,3400892075761,2013,6,0.0,3.0,2013-06,5.0,539067.0,714.0,5001.0,1157.0,187.0,75420.0,0.0,1236.0,261.0,0.0,2
HOSPI_3,3400892075761,2013,6,0.0,5.0,2013-06,50.0,1107398.0,1158.0,7129.0,2063.0,521.0,117781.0,594.0,2903.0,1302.0,97.0,3
HOSPI_4,3400892075761,2013,6,0.0,2.0,2013-06,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,4
HOSPI_1,3400892088310,2013,6,20.0,1.0,2013-06,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0,1
