med_a,med_b,hospi_a,hospi_b
03645,75761,1,1
08566,22634,1,2
25037,25037,1,2
26706,03645,1,2
26706,08566,1,1
26706,22634,1,1
26706,91226,1,1
29589,03645,1,2
29589,36135,1,2
29589,45848,1,2
35203,35203,1,2
36135,75490,1,2
36135,75761,1,2
45848,22634,1,2
52120,26706,1,1
52120,29589,1,1
52120,37149,1,2
52120,65366,1,1
52120,88310,1,2
52120,91226,1,1
61527,22634,1,2
61527,29589,1,2
61695,35203,1,1
61695,75761,1,1
65366,08566,1,1
65366,22634,1,2
75490,69236,1,1
75490,69236,1,2
75490,75490,1,2
88310,26706,1,2
88310,36135,1,1
88310,75761,1,2
88310,88310,1,2
88310,91226,1,1
91226,91226,1,2
97789,35203,1,2
52120,22634,1,3
61527,03645,1,3
61527,08566,1,3
29589,37149,1,3
26706,22634,1,3
61695,97789,1,3
35203,22634,1,3
37149,03645,1,3
37149,08566,1,3
37149,22634,1,3
45848,91226,1,3
75490,69236,1,3
69236,69236,1,3
65366,08566,1,3
65366,91226,1,3
08566,22634,1,3
22634,22634,1,3
61527,26706,1,4
61527,08566,1,4
61527,36135,1,4
61527,35203,1,4
61527,91226,1,4
29589,03645,1,4
29589,35203,1,4
88310,35203,1,4
45848,65366,1,4
45848,08566,1,4
45848,45848,1,4
45848,75761,1,4
45848,91226,1,4
75490,75761,1,4
75490,91226,1,4
69236,08566,1,4
69236,75761,1,4
69236,91226,1,4
25037,65366,1,4
25037,08566,1,4
25037,25037,1,4
25037,91226,1,4
65366,08566,1,4
08566,08566,1,4
45848,65366,2,2
45848,69236,2,2
45848,88310,2,2
45848,22634,2,2
45848,36135,2,2
45848,26706,2,2
65366,69236,2,2
29589,22634,2,2
69236,22634,2,2
69236,75490,2,2
52120,26706,2,2
36135,75761,2,2
26706,88310,2,2
75761,37149,2,2
88310,37149,2,2
03645,22634,2,3
03645,36135,2,3
45848,69236,2,3
45848,08566,2,3
45848,88310,2,3
65366,26706,2,3
61527,69236,2,3
29589,08566,2,3
29589,36135,2,3
69236,69236,2,3
35203,52120,2,3
22634,91226,2,3
22634,36135,2,3
52120,52120,2,3
52120,97789,2,3
36135,08566,2,3
36135,88310,2,3
36135,37149,2,3
26706,88310,2,3
26706,97789,2,3
75761,75761,2,3
75761,97789,2,3
88310,88310,2,3
45848,08566,2,4
45848,91226,2,4
45848,35203,2,4
45848,26706,2,4
65366,08566,2,4
65366,61527,2,4
65366,36135,2,4
69236,75761,2,4
69236,08566,2,4
69236,91226,2,4
69236,36135,2,4
69236,61695,2,4
22634,08566,2,4
22634,36135,2,4
22634,26706,2,4
75490,91226,2,4
75490,61695,2,4
61695,37149,2,4
03645,08566,3,3
03645,91226,3,3
03645,88310,3,3
03645,37149,3,3
45848,35203,3,3
65366,29589,3,3
61527,61695,3,3
29589,91226,3,3
69236,25037,3,3
36135,08566,3,3
08566,88310,3,3
91226,88310,3,3
88310,37149,3,3
03645,88310,3,4
03645,61527,3,4
03645,35203,3,4
03645,36135,3,4
03645,26706,3,4
65366,36135,3,4
65366,61695,3,4
61527,69236,3,4
61527,25037,3,4
29589,08566,3,4
29589,88310,3,4
29589,35203,3,4
29589,36135,3,4
69236,75761,3,4
69236,91226,3,4
75490,97789,3,4
91226,88310,3,4
03645,75761,4,4
03645,91226,4,4
03645,36135,4,4
03645,61695,4,4
45848,65366,4,4
45848,69236,4,4
45848,08566,4,4
45848,91226,4,4
45848,97789,4,4
45848,29589,4,4
45848,26706,4,4
65366,97789,4,4
65366,29589,4,4
65366,25037,4,4
65366,75490,4,4
61527,08566,4,4
61527,88310,4,4
61527,36135,4,4
29589,25037,4,4
29589,75490,4,4
29589,37149,4,4
69236,25037,4,4
69236,75490,4,4
35203,52120,4,4
25037,75490,4,4
52120,75761,4,4
52120,08566,4,4
52120,91226,4,4
52120,88310,4,4
52120,97789,4,4
52120,36135,4,4
52120,26706,4,4
36135,75761,4,4
36135,08566,4,4
36135,91226,4,4
36135,88310,4,4
36135,61695,4,4
26706,88310,4,4
75761,91226,4,4
75761,61695,4,4
08566,91226,4,4
08566,88310,4,4
61695,91226,4,4
